index_meta,ID,site,phase,prefecture,area,pc1,pc2,pc3,pc4,pc5,pc6
,agata_604.jpg,Agata,08. H,ehime,05. Shikoku,-0.131375872,0.016119484,0.012982023,0.010652812,-0.034549721,0.00654081
agata_606,agata_606.jpg,Agata,08. H,ehime,05. Shikoku,-0.035756799,-0.050621206,-0.029607103,0.000439266,-0.023491529,-0.0376121
agata_609,agata_609.jpg,Agata,08. H,ehime,05. Shikoku,-0.062839182,0.003169291,-0.023140823,-0.022403058,-0.016079565,-0.0117797
agata_611,agata_611.jpg,Agata,08. H,ehime,05. Shikoku,0.059102333,-0.11006649,0.054412181,-0.021345345,-0.037283422,-0.0103681
agata_616,agata_616.jpg,Agata,08. H,ehime,05. Shikoku,-0.129556435,0.098669778,0.026651285,-0.02977224,-0.023359777,-0.0210187
,agata_618.jpg,Agata,08. H,ehime,05. Shikoku,-0.088879651,0.013721057,-0.007618537,-0.009060327,-0.025414537,0.01444648
agata_620,agata_620.jpg,Agata,08. H,ehime,05. Shikoku,-0.03905728,-0.027556269,-0.041463334,-0.029707692,-0.002802167,-0.0046161
aso_10,asoshogakko_10.jpg,Asoshogakko,05. E,ehime,05. Shikoku,-0.006902357,0.029910503,0.018470402,-0.018963387,-0.014654876,0.00214885
aso_11,asoshogakko_11.jpg,Asoshogakko,05. E,ehime,05. Shikoku,-0.021381947,-0.117880461,-0.02340969,0.023527059,-0.00544823,-0.0191194
ayaragi_go_9,ayaragi_go.9.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,-0.009571553,0.08647132,0.032135284,-0.013611945,-0.004139064,-0.0121244
ayaragi_go_11,ayaragi_go.11.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,0.039875866,0.049499741,-0.018616638,-0.010482339,-0.004498941,0.00266808
ayaragi_go_52,ayaragi_go.52.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,-0.035266441,-0.000195462,0.026306951,-0.013561968,-0.00944128,0.00204534
ayaragi_go_56,ayaragi_go.56.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,0.017822179,0.055640674,0.014550192,0.019787,0.001362879,0.00189106
,ayaragi_go.61.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,0.161816436,-0.035801782,0.0392215,0.00059595,-0.01827737,-0.0087714
ayaragi_go_94,ayaragi_go.94.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,0.042825264,0.044543537,-0.00378093,-0.011857066,-0.004002389,0.00255787
,ayaragi_go.97.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,0.08847142,-0.011537127,0.017612868,0.023836453,-0.002099208,-0.0123973
,ayaragi_go.99.jpg,Ayaragigo,04. D,yamaguchi,03. Sanyo,0.019751228,0.010575075,-0.029430164,-0.004522669,-0.012777355,-0.0023243
