,データ取得方法,site,phase,prefecture,area,latitude,longitude
agata_606,"Creafrom HandySCAN BLACK™ | Elite
SfM (Eos Kiss x8i)",Agata,8,ehime,04. Setouchi,34.063099,132.972503
agata_609,Creafrom HandySCAN BLACK™ | Elite,Agata,8,ehime,04. Setouchi,34.063099,132.972503
agata_611,Creafrom HandySCAN BLACK™ | Elite,Agata,8,ehime,04. Setouchi,34.063099,132.972503
agata_616,Creafrom HandySCAN BLACK™ | Elite,Agata,8,ehime,04. Setouchi,34.063099,132.972503
agata_620,Creafrom HandySCAN BLACK™ | Elite,Agata,8,ehime,04. Setouchi,34.063099,132.972503
ama_1,Creafrom HandySCAN BLACK™ | Elite,Ama,6,osaka,06. Kinki,34.85552,135.6309303
ama_2,Creafrom HandySCAN BLACK™ | Elite,Ama,6,osaka,06. Kinki,34.85552,135.6309303
ama_3,Creafrom HandySCAN BLACK™ | Elite,Ama,6,osaka,06. Kinki,34.85552,135.6309303
ama_4,Creafrom HandySCAN BLACK™ | Elite,Ama,6,osaka,06. Kinki,34.85552,135.6309303
asahi1,Creafrom HandySCAN BLACK™ | Elite,Asahi,7,aichi,07. Tokai,35.218496,136.85131
asahi2,Creafrom HandySCAN BLACK™ | Elite,Asahi,7,aichi,07. Tokai,35.218496,136.85131
asahi3,Creafrom HandySCAN BLACK™ | Elite,Asahi,7,aichi,07. Tokai,35.218496,136.85131
asahi4,Creafrom HandySCAN BLACK™ | Elite,Asahi,7,aichi,07. Tokai,35.218496,136.85131
aso_10,Creafrom HandySCAN BLACK™ | Elite,Aso,5,ehime,04. Setouchi,33.77737,132.791355
aso_11,Creafrom HandySCAN BLACK™ | Elite,Aso,5,ehime,04. Setouchi,33.77737,132.791355
aso_12,Creafrom HandySCAN BLACK™ | Elite,Aso,5,ehime,04. Setouchi,33.77737,132.791355
ayaragi_go_101,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_1033,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,6,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_11,Creafrom HandySCAN BLACK,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_126,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_157,SfM (SONYα6500),Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_158,Creafrom HandySCAN BLACK,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_160,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_176,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_184,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_186,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_199,SfM (SONYα6500),Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_202,Creafrom HandySCAN BLACK,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_203,SfM (SONYα6500),Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_208,SfM (SONYα6500),Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_209,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_21,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_224,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,4,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_237,Creafrom HandySCAN BLACK,Ayaragi-go,5,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
ayaragi_go_240,Creafrom HandySCAN BLACK™ | Elite,Ayaragi-go,5,yamaguchi,02. Eastern Kyushu,34.011032,130.926013
